Ward,Name,opening_hour,Opening time,Post_code,Address,Capacity,Capacity_integer
,Nunhead Library,32,Weekly tea/coffee sessions: Wednesdays 11am. Library opening times: Monday: 2pm to 7pm. Tuesday: 2pm to 7pm. Wednesday: 10am to 3pm. Thursday: 2pm to 7pm. Friday: 10am to 3pm. Saturday: 10am to 5pm. Sunday: closed,SE15 3RB,"88-138 Gordon Rd, SE15 3RB",42.60964621,43
,Kingswood Tenants and Residents Association (TRA),3,Every Wednesday from 11am to 2pm,SE21 8QW,"Tefler House, Seeley Drive SE21 8QW",3.994654332,4
,Walworth Living Room (Pembroke House),10,Thursday and Friday: 10am to 3pm.,SE17 2JU,"Walworth Living Room, All Saints Hall, Surrey Square, SE17 2JU",13.31551444,13
,Draper Hall,5,Wednesday: 10am to 3pm,SE17 3AN,"Draper Hall, Hampton Street, SE17 3AN",6.65775722,7
,Mental Fight Club,87.5,,SE17 3AN,"Draper Hall, Hampton Street, SE17 3AN",116.5107513,117
,British Legion,6,Monday and Thursday: 10am to 4pm,SE17 3RD,"34 Gaza St, SE17 3RD",7.989308664,8
,Golden Oldies,5,Tuesday: 10am to 3pm,SE5 0EN,"Walworth Methodist Church Hall, 54 Camberwell Road, SE5 0EN",6.65775722,7
,Southwark Heritage Centre and Walworth Library,61,Weekly tea/coffee sessions: Monday at 11am. Library opening times: Monday: 10am to 8pm. Tuesday: 10am to 8pm. Wednesday: 10am to 8pm. Thursday: 10am to 8pm. Friday: 10am to 8pm. Saturday: 10am to 5pm. Sunday: 12pm to 4pm,SE17 1RW,"147 Walworth Rd, SE17 1RW",81.22463808,81
,Brandon Library,27,Weekly tea/coffee sessions: Thursday 2pm. Library opening times: Monday: 2pm to 7pm. Tuesday: 2pm to 7pm. Wednesday: closed. Thursday: 2pm to 7pm. Friday: 10am to 3pm. Saturday: 10am to 5pm. Sunday: closed .,SE17 3NH,"Maddock Way, SE17 3NH",35.95188899,36
,Brandon 3 Tenants and Residents Association (TRA),9,Fridays from 12 noon to 9pm,SE5 0TB,"9 Grimsel Path, SE5 0TB",11.983963,12
Richmond,Mortlake Community Association,6,Wednesday and Thursday 12 noon to 3pm,SW14 8EZ,"Mortlake Hall, 30 Mullins Path, Mortlake, SW14 8EZ",7.989308664,8
,OSO Arts Centre,58,Monday to Friday 9am to 6pm. Saturday 9am to 4pm. Sunday 10am to 4pm,SW13 0LF,"Community Hall, 49 Station Road, Barnes, SW13 0LF",77.22998375,77
,Sheen Lane Centre,1.5,Wednesday 10.30am to 12 noon,SW14 8LP,"74 Sheen Lane, East Sheen, SW14 8LP",1.997327166,2
,St Mary's Church,2,Thursday 10am to 12 noon,SW13 9HL,"Church Road, Barnes, London, SW13 9HL",2.663102888,3
,All Saints Parish Church,4.5,Wednesday: 12 noon to 3pm. First Thursday of the month: 10.30am to 12 noon. Third Thursday of the month: 2.30 to 4pm,TW12 3RG,"The Avenue, Hampton, TW12 3RG",5.991981498,6
,Hampton Inspired Hub,56,"Monday to Sunday, 9am to 5pm",TW12 2JA,"The Bungalow, 3 Ashley Road, Hampton, TW12 2JA",74.56688086,75
,St James's Church,9,"Mondays, Wednesday and Thursdays 12.30 to 3.30pm",TW12 1DQ,"St James's Road, Hampton Hill, TW12 1DQ",11.983963,12
,Cambrian Community Centre,2,Tuesday 2 to 4pm,TW10 6SN,"Caplan Court, 1 Grove Road, Richmond, TW10 6SN",2.663102888,3
,Museum of Richmond,29,Tuesday to Friday 11am to 5pm. Saturday 11am to 4pm,TW9 1TP,"Second Floor, Old Town Hall, Whittaker Avenue, Richmond, TW9 1TP",38.61499187,39
,Vineyard Community Centre,12.5,"Monday to Friday, 1 to 3.30pm",TW10 6AQ,"The Vineyard, Richmond, TW10 6AQ",16.64439305,17
,Peter & Paul Centre,3,Monday 1.30 to 4.30pm (Run by the Teddington Community Cafe),TW11 8PB,"Bychurch End, Church Road, Teddington, TW11 8PB",3.994654332,4
,St Mark's Church,2,Wednesday 10am to 12 noon,TW11 9DE,"17 St Mark's Road, Teddington, TW11 9DE",2.663102888,3
,St Michael's Church,2,Wednesday 2 to 4pm,TW11 0SP,"Wilcox Road, Teddington, TW11 0SP",2.663102888,3
,Teddington Baptist Church,3,Wednesday 9.30am to 12.30pm,TW11 8PF,"17 Church Road, Teddington, TW11 8PF",3.994654332,4
,Teddington Methodist Church,2,Saturday 10.30am to 12.30pm,TW11 8TP,"Stanley Road, Teddington, TW11 8TP",2.663102888,3
,Teddington Salvation Army,3,Thursday 4 to 7pm,TW11 8PF,"27 Church Road, Teddington, TW11 8PF",3.994654332,4
,ETNA Community Centre,7.5,"Monday, Wednesday and Friday 3 to 5.30pm",TW1 2AR,"13 Rosslyn Road, Twickenham, TW1 2AR",9.98663583,10
,The Turk's Head,75,Monday to Saturday 12 noon to 11pm. Sunday 12 noon to 9pm,TW1 1LF,"28 Winchester Road, Twickenham, TW1 1LF",99.8663583,100
,Twickenham Congregational Church,3,Friday 12 noon to 3pm,TW2 5QA,"First Cross Road, Twickenham, TW2 5QA",3.994654332,4
,Homelink Day Respite Centre,3,Wednesday 12 noon to 3pm,TW2 6DE,"Hospital Bridge Road, Whitton, TW2 6DE",3.994654332,4
,Whitton Community Centre,23,Thursday 10am to 5pm. Friday 1 to 9pm. Saturday 3 to 8pm. Sunday 1 to 6pm,TW2 6JL,"Percy Road, Whitton, TW2 6JL",30.62568321,31
Redbridge,Aldersbrook Library,29,,E12 5HQ,"Aldersbrook Library, 2a Park Road, London, E12 5HQ",38.61499187,39
,Clayhall Library,30,,IG5 0LQ,"CLAYHALL LIBRARY, 1 CLAYBURY BROADWAY, CLAYHALL, ILFORD, IG5 0LQ",39.94654332,40
,Fullwell Cross Library,53,,IG6 2EA,"FULLWELL CROSS LIBRARY, 140 HIGH STREET, BARKINGSIDE, ILFORD, IG6 2EA",70.57222653,71
,Gants Hill Library,57,,IG2 6LA,"GANTS HILL LIBRARY, 490 CRANBROOK ROAD, ILFORD, IG2 6LA",75.8984323,76
,Goodmayes Library,39,,IG3 9QB,"GOODMAYES LIBRARY, 76 GOODMAYES LANE, Goodmayes, ILFORD, IG3 9QB",51.93050631,52
,Hainault Library,39,,IG7 4DD,"HAINAULT LIBRARY, 100 MANFORD WAY, CHIGWELL, IG7 4DD",51.93050631,52
,Keith Axon Library,63,,RM6 4XB,"CHADWELL HEATH LIBRARY, KEITH AXON CENTRE, 160 GROVE ROAD, Chadwell Heath, ROMFORD, RM6 4XB",83.88774097,84
,Seven Kings Library,40,,IG3 8RQ,"SEVEN KINGS LIBRARY, 679 HIGH ROAD, Seven Kings, ILFORD, IG3 8RQ",53.26205776,53
,South Woodford Library,100,,E18 2QS,"SOUTH WOODFORD LIBRARY, 116 HIGH ROAD, South Woodford, LONDON, E18 2QS",133.1551444,133
,Wanstead Library,47,,E11 2RQ,"WANSTEAD LIBRARY, SPRATT HALL ROAD, Wanstead, LONDON, E11 2RQ",62.58291787,63
,Woodford Green Library,100,,IG8 0DX,"WOODFORD GREEN LIBRARY, SNAKES LANE EAST, WOODFORD GREEN, IG8 0DX",133.1551444,133
,St Paul's Church,2,,IG7 4NZ,"St Paul's Church, Arrowsmith Road, Chigwell, Essex, IG7 4NZ",2.663102888,3
,VHP Ilford Hindu Centre and Mandir,38.5,,IG1 1EE,"VHP ILFORD HINDU CENTRE, 43 CLEVELAND ROAD, ILFORD, IG1 1EE",51.26473059,51
,Vine United Reformed Church,9,,IG1 1JH,"THE VINE UNITED REFORMED CHURCH, RICHES ROAD, ILFORD, IG1 1JH",11.983963,12
,Holy Trinity South Woodford,3,,E18 1QQ,"HOLY TRINITY CHURCH, HERMON HILL, LONDON, E18 1QQ",3.994654332,4
,St Mary's Church Woodford,9.5,,E18 2PA,"ST MARYS CHURCH, HIGH ROAD, SOUTH WOODFORD, E18 2PA",12.64973872,13
Newham,Beckton Globe Library,84,"Wed,10:00 to 20:00 Thur, 10:00 to 20:00 Fri, 10:00 to 20:00 Sat, 10:00 to 20:00 Sun, 24h Mon,  (Spring Bank Holiday), 10:00 to 20:00, Tue, 10:00 to 20:00",E6 5JQ,"1 Kingsford Way, London E6 5JQ",111.8503213,112
,Canning Town Library,72,Mon to Sat 8:00 to 20:00,E16 1EH,"18, Rathbone Market, London E16 1EH",95.87170396,96
,Custom House Library,23,Thur 10:00 to 18: 00 Fri 10:00 to 18:00 Mo: 10:00 to 18:00 Tue 10:00 to 18:00,E16 3JJ,"Prince Regent Ln, London E16 3JJ",30.62568321,31
,East Ham Library,73,Mon to Sat 9:00 to 20:00 Sun 9:00 to 16: 00,E6 2RT,"328 Barking Rd, London E6 2RT",97.20325541,97
,The Gate Library,66,Mon to Sat 9:00 to 20:00,E7 0QH,"Woodgrange Rd, London E7 0QH",87.8823953,88
,Green Street Library,60,Mon to Sat 10:00 to 20:00,E13 9AR,"337-341 Green St, London E13 9AR",79.89308664,80
,Manor Park Library,60,Mon to Sat 10:00 to 20:00,E12 5BS,"685-693 Romford Rd, London E12 5BS",79.89308664,80
,North Woolwich Library,51,Mon to Sat 9:00 to 17:30,E16 2LJ,"5 Pier Rd, London E16 2LJ",67.90912364,68
,Plaistow Library,48,Mon to Sat 9:30 to 17:30,E13 9HN,"North St, London E13 9HN",63.91446931,64
,Stratford Library,70,Mon to Sat 9:00 to 20:00 Sun 12:00 to 16: 00,E15 1EL,"3 The Grove, London E15 1EL",93.20860108,93
,Trinity Centre,77,Mon to Sun 9:00 to 20:00,E12 6SG,"Trinity Centre, East Ave, London E12 6SG",102.5294612,103
,Katherine Road Community Centre,40,Mon to Fri 9:00 to 17:00,E7 8PW,"254 Katherine Rd, London E7 8PW",53.26205776,53
,Woodman Community Centre,67,,E16 2NF,"32A Woodman St, London E16 2NF",89.21394674,89
,Jack Cornwell Community Centre,98,Mon to Sun 9:00 to 23:00,E12 5NN,"Jack Cornwell St, London E12 5NN",130.4920415,130
,Forest Lane Lodge,98,Mon to Sun 9:00 to 23:00,E7 9DE,"Magpie Cl, London E7 9DE",130.4920415,130
Merton,Colliers Wood Library,56,,SW19 2HR,"105-109 High Street Colliers Wood, London SW19 2HR",74.56688086,75
,Mitcham Library,66.5,Mon to Sat 9:00 to 17:30,CR4 2YR,"157 London Rd, Mitcham CR4 2YR",88.54817102,89
,Morden Library,57,,SM4 5DX,"Merton Civic Centre, London Rd, Morden SM4 5DX",75.8984323,76
,Pollards Hill Library,57,,CR4 1LT,"S Lodge Ave, Mitcham CR4 1LT",75.8984323,76
,Raynes Park Library,45.5,,SW20 8BA,"21 Approach Rd, Raynes Park, London SW20 8BA",60.5855907,61
,West Barnes Library,53,,KT3 6JF,"Station Rd, New Malden KT3 6JF",70.57222653,71
,Wimbledon Library,54,,SW19 7NB,"Wimbledon Reference Library, 35 Wimbledon Hill Rd, London SW19 7NB",71.90377797,72
Lewisham,Blackheath Village community library service,21,,SE3 9LA,"The Reminiscence Centre, 11 Blackheath Village, Blackheath, London, SE3 9LA",27.96258032,28
,Catford Library,64,,SE6 4JU,"23-24 Winslade Way, Catford Centre, SE6 4JU",85.21929241,85
,Crofton Park Library,40,,SE4 2AG,"Crofton Park Library, Brockley Road, Crofton Park, London, SE4 2AG",53.26205776,53
,The Library at Deptford Lounge,58,,SE8 4RH,"Library, Deptford Lounge, 9 Giffin St, London, SE8 4RH",77.22998375,77
,Downham Library,58,,BR1 5EP,"Downham Library, 7–9 Moorside Road, Bromley, BR1 5EP",77.22998375,77
,Forest Hill Library,62,,SE23 3HZ,"Forest Hill Library, Dartmouth Road, London, SE23 3HZ",82.55618952,83
,Grove Park Library,29,,SE12 0BX,"Grove Park Library, Somertrees Avenue, Grove Park, London, SE12 0BX",38.61499187,39
,Lewisham Library,58,,SE13 6LG,"Lewisham Library, 199-201 Lewisham High St, London, SE13 6LG",77.22998375,77
,Manor House Library,46,, SE13 5SY,"Manor House Library, 34 Old Road, London, SE13 5SY",61.25136642,61
,New Cross Library,16,,SE14 6AS,"New Cross Library, 283 285 New Cross Road, London, SE14 6AS",21.3048231,21
,Sydenham Library,20,,SE26 5SE,"Sydenham Library, Sydenham Road, London, SE26 5SE",26.63102888,27
,Corbett Community Library,29.5,,SE6 1RQ,"Torridon Road, London, SE6 1RQ",39.2807676,39
Lambeth,Brixton Tate Library,59,,SW2 1JQ,"Chaplin House, London SW2 1JQ",78.56153519,79
,Carnegie Library,42,,SE24 0DG,"192 Herne Hill Road, SE24 0DG",55.92516065,56
,Clapham Library,55,,SW4 7DB,"Mary Seacole Centre, 91 Clapham High Street, SW4 7DB",73.23532942,73
,Durning Library,39,,SE11 4HF,"167 Kennington Lane, SE11 4HF",51.93050631,52
,Minet Library,47,,SE5 9QY,"52 Knatchbull Road, SE5 9QY",62.58291787,63
,Streatham Library,56,,SW16 1PN,"63 Streatham High Road,SW16 1PN",74.56688086,75
,Tate South Lambeth Library,39,,SW8 1QP,"180 South Lambeth Road, SW8 1QP",51.93050631,52
,Upper Norwood Library,42,,SE19 1TQ,"39 Westow Hill, SE19 1TQ",55.92516065,56
,Waterloo Library,34,,SE1 7QP,"1 Kennington Road, SE1 7QP",45.27274909,45
,West Norwood Library,55,,SE27 9JX,"1-5 Norwood High Street, SE27 9JX",73.23532942,73
,Oasis Waterloo,3,,SE1 7QP,"1 Kennington Road, London SE1 7QP",3.994654332,4
,West London Mission,48,,SE11 4NT,"25A Wincott Street,Kennington, London SE11 4NT",63.91446931,64
,Ashmole Estate Tenants' Hall,11,,SW8 1PL,"113 Claylands Rd, London SW8 1PL",14.64706588,15
Kingston,Kingston Library,41,,KT1 2PS,"Fairfield Rd, Kingston upon Thames KT1 2PS",54.5936092,55
,Kingston URC Church,45,,KT1 1HZ,Eden Street KT1 1HZ,59.91981498,60
,CLICK Cafe,20,,KT1 2TW,"13 Geneva Road, KT1 2TW",26.63102888,27
,Tudor Drive Library,32,,KT2 5QH,"192 Tudor Drive, KT2 5QH",42.60964621,43
,Kingsnympton Youth & Community Centre,17,,KT2 7RW,Kingsnympton Park KT2 7RW,22.63637455,23
,Surbiton Assembly Rooms,45,,KT1 2JT,"13 to 15 Surbiton Crescent, KT1 2JT",59.91981498,60
,Surbiton Library,39,,KT6 6AG,Ewell Road KT6 6AG,51.93050631,52
,The cornerHOUSE Arts Centre,36,,KT6 7SB,"116 Douglas Road, Surbiton, KT6 7SB",47.93585198,48
,Tolworth Community Library,40,,KT6 7DJ,"The Broadway, Surbiton, KT6 7DJ",53.26205776,53
,Sunray Community Centre,3,,KT5 9QP,"Knollmead, Worcester Park, Tolworth, KT5 9QP",3.994654332,4
,Dickerage Sports & Community Centre,60,,KT3 3EQ,"Dickerage Road, New Malden KT3 3EQ",79.89308664,80
,New Malden Library,41,,KT3 3LY,"Kingston Rd,, New Malden, KT3 3LY",54.5936092,55
,Square 1 Cafe New Malden,4,,KT3 3PE,"Kingston Environment Centre, 1 Kingston Road, New Malden KT3 3PE",5.326205776,5
,Old Malden Library,28,,KT4 7RD,"Church Rd, Worcester Park, KT4 7RD",37.28344043,37
,New Malden Baptist Church,1.5,,KT3 5BE,"1A Westbury Rd, New Malden KT3 5BE",1.997327166,2
,New Malden Methodist Church,31,,KT3 4BY,"49 High St, New Malden KT3 4BY",41.27809476,41
,"St James Parish Church, New Malden",1,,KT3 5QE,"Bodley Rd, New Malden KT3 5QE",1.331551444,1
,Saint Joseph's Roman Catholic Church,19.5,,KT3 3QW,"1 Montem Rd, New Malden KT3 3QW",25.96525316,26
,"St Mary's Centre, Chessington",18,,KT9 2DR,"Church Lane, KT9 2DR",23.96792599,24
,Square 1 Cafe Chessington,4,,KT9 2JS,"Chessington Sports Centre, Garrison Lane, Chessington KT9 2JS",5.326205776,5
,The Hook Centre,84,,KT9 1AE,"9 Green End, Chessington KT9 1AE",111.8503213,112
Kensington and Chelsea,Dalgarno Trust,40,,W10 5QB,"1 Webb Close London, W10 5QB",53.26205776,53
,Early help - family hubs,12,,W10 5PE,"Holmfield House Children Centre, Golborne Road, W10 5PE",15.97861733,16
,Kensal Library,12.5,,W10 5PF,"The Lodge, 20 Golborne Rd, London W10 5PF",16.64439305,17
,Venture Community Centre,49,,W10 5YB,"103A Wornington Road, W10 5YB",65.24602075,65
,St Helens Church,3,,W10 6LP,"St Helen's Gardens, North Kensington, London W10 6LP",3.994654332,4
,Latymer Christian Church in Partnership with The Space,6,,W10 6SU,"116 Bramley Road, W10 6SU",7.989308664,8
,Bay 20,10,,W10 6JG,"71 St Marks Road, W10 6JG",13.31551444,13
,North Kensington Library,53,,W11 1PZ,"108 Ladbroke Grove, London W11 1PZ",70.57222653,71
,Salvation Army Church,3,,W11 1LU,"205 Portobello Road, W11 1LU",3.994654332,4
,The Tabernacle,96,,W11 2AY,"35 Powis Square, W11 2AY",127.8289386,128
,Baseline Studios,45,,W11 4AT,"9 Whitchurch Road, North Kensington, W11 4AT",59.91981498,60
,Kensington Leisure Centre,101,,W11 4HE,"Silchester Rd, London W11 4HE",134.4866958,134
,Notting Hill Methodist Church,33,,W11 4AH,"240 Lancaster Rd, London W11 4AH",43.94119765,44
,Henry Dickens Community Centre,13.5,,W11 4DH,"104 St Ann's Road, London W11 4DH",17.97594449,18
,Nourish Cafe,0.5,,W11 4SS,"Unit A, Nourish Hub, Swanscombe House, 1 St Ann's Rd, London W11 4SS",0.665775722,1
,Notting Hill Gate Library,36.5,,W2 4EW,"1 Pembridge Square, London W2 4EW",48.6016277,49
,Kensington Central Library,53,,W8 7RX,"12 Phillimore Walk, London W8 7RX",70.57222653,71
,St Mary Abbots Church,25.5,,W8 4LA,"Kensington Church Street, London, W8 4LA",33.95456182,34
,St Cuthberts Centre,10,,SW5 9EB,"51 Philbeach Gardens, London SW5 9EB",13.31551444,13
,Brompton Library,58.5,,SW5 0BS,"210 Old Brompton Rd, London SW5 0BS",77.89575947,78
,HTB Queen's Gate,7.5,,SW7 5LP,"117, HTB Queen's Gate, SW7 5LP",9.98663583,10
,Chelsea Library,58.5,,SW3 5EZ,"Chelsea Old Town Hall, King's Rd, London SW3 5EZ",77.89575947,78
,SMART,38,,SW10 0JN,"The Basement, 15 Gertrude Street, London, SW10 0JN",50.59895487,51
,Chelsea Theatre,51,,SW10 0DR,"7 Worlds End Place, Chelsea, SW10 0DR",67.90912364,68
Islington,The Peel Centre,34,,EC1R 0HU,"3 Corners Learning Centre, Northampton Road, London",45.27274909,45
,Brunswick Estate Community Centre,40,,EC1V 0HP,"Ground Floor, Mulberry Court, Tompion Street, London",53.26205776,53
,Museum Of The Order Of Saint John,1.5,,EC1V 4JJ,"St John's Gate, St John's Lane, Clerkenwell, London",1.997327166,2
,Finsbury Library,54,,EC1V 4NB,"245 St. John Street, London",71.90377797,72
,St Luke's Community Centre,50,,EC1V 8AJ,"90, Central Street, London",66.5775722,67
,St Clement's Church,9,,EC1V 8DA,King Square,11.983963,12
,Wesley's Chapel and Leysian Mission,30,,EC1Y 1AU,"49, City Road",39.94654332,40
,London Irish Centre,10,,NW1 9XB,"50-52 Camden Square, London",13.31551444,13
,West Library,36,,N1 1BD,"Bridgeman Road , London",47.93585198,48
,South Library,36,,N1 2SL,"115-117 Essex Rd, London",47.93585198,48
,St Mary's Church,2.5,,N1 2TX,Upper Sreet,3.32887861,3
,Our Lady & St Joseph's Catholic Church,6,,N1 4AG,"Presbytery 100a, Balls Pond Road, London",7.989308664,8
,Mildmay Library,30.5,,N1 4NA,"21-23 Mildmay Park , London",40.61231904,41
,Saint Jude and Saint Paul's Church,3,,N1 4PL,"113, Mildmay Grove North, London",3.994654332,4
,The Arc Centre,32.5,,N1 7DF,"98B, St Paul Street",43.27542193,43
,Chabad Islington Jewish Community Centre,48,,N1 8HX,"Chabad Islington Jewish Community Centre and Art Gallery, 1-3 Elliott's Place",63.91446931,64
,King's Cross Church,5.5,,N1 9JY,"242 Pentonville Rd, London N1 9JY",7.323532942,7
,Claremont Project,40,,N1 9PD,"24-27, White Lion Street",53.26205776,53
,N4 Library,47,,N4 2DW,"26 Blackstock Road , London",62.58291787,63
,The UCKG HelpCentre,91,,N4 3NX,"UCKG, Rainbow Theatre, 232 Seven Sisters Rd, Finsbury Park, London",121.1711814,121
,Hanley Crouch Community Association,4,,N4 4BY,"42 Crouch Hill, London",5.326205776,5
,Elizabeth House Community Centre,16.5,,N5 1ED,"Elizabeth House, 2 Hurlock Street, London",21.97059883,22
,Central Library,58,,N5 1PF,"2, Fieldway Crescent, Islington, London",77.22998375,77
,Highbury Baptist Church,4,,N5 1QL,"Highbury Baptist Church, 40a, Highbury Place, London",5.326205776,5
,Christ Church Highbury,4,,N5 1SA,"155 Highbury Grove, Islington, London",5.326205776,5
,Sotheby Mews Day Centre,15,,N5 2UT,"2 Sotheby Mews, Sotheby Road",19.97327166,20
,Hilldrop Community Centre,6.5,,N7 0JE,"Community Lane, Hilldrop Road, London",8.655084386,9
,Cat and Mouse Library,28.5,,N7 0JN,"Cat and Mouse Library , 277 Camden Road, London",37.94921615,38
,Saint George and All Saints Church,4.5,,N7 0ND,"Crayford Road, Tufnell Park, London",5.991981498,6
,North Library,30.5,,N7 6JX,"Manor Gardens, London",40.61231904,41
,Manor Gardens Centre,25,,N7 6LA,"Manor Gardens Centre, 6-9 Manor Gardens, London",33.2887861,33
,Old Fire Station Community Centre,7,,N7 6QT,"84, Mayton Street",9.320860108,9
,Andover Estate Community Centre,45,,N7 7RY,"55 Corker Walk, Finsbury Park, London N7 7RY",59.91981498,60
,Light Project Pro International,44.5,,N7 8DE,"The Exchange, Watkinson Road, London",59.25403926,59
,Goodinge Community Centre,4,,N7 9EW,"2 Goodinge Rd, Market Estate, 20 North Road, London",5.326205776,5
,Mildmay Community Centre,15,,N16 8NA,Woodville Road,19.97327166,20
,Hornsey Rise,25,,N19 3AD,"Ashley Road, Upper Holloway",33.2887861,33
,Caxton House Community Centre,8,,N19 3RQ,"Main Office, Caxton House Community Centre, 129 St John's Way, London",10.65241155,11
,St Andrew's Church,2.5,,N19 3TN,Whitehall Park (corner with Gladsmuir Rd),3.32887861,3
,Hornsey Lane Estate Community Association,46,,N19 3YJ,"Hornsey Lane Estate Community Centre, Hazellville Road, London",61.25136642,61
,Whittington Park Community Centre,12,,N19 4RS,"Whittington Park Community Association, Yerbury Road, London",15.97861733,16
,Archway Library,36,,N19 5PH,"Hamlyn House, Highgate Hill, London",47.93585198,48
,Hargrave Hall Community Centre,3.5,,N19 5SP,"Hargrave Road, London, London",4.660430054,5
Hounslow,Beavers library,34,,TW4 7NW,"The Hub, 103 Salisbury Road, Hounslow",45.27274909,45
,Bedfont library,34.5,,TW14 8DB,"Staines Road, Bedfont, TW14 8DB",45.93852482,46
,Brentford library,37,,TW8 8DW,"11F Boston Manor Road, Hounslow, TW8 8DW",49.26740343,49
,Chiswick library,53,,W4 2AB,"1 Duke's Avenue, Chiswick, W4 2AB",70.57222653,71
,Cranford library,34.5,,TW5 9TL,"Bath Road, Hounslow, TW5 9TL",45.93852482,46
,Feltham library,55.5,,TW13 4GU,"210 The Centre, High Street, Feltham, TW13 4GU",73.90110514,74
,Hanworth library,37,,TW13 5EG,"Hanworth Air Park Leisure Centre & Library, Uxbridge Road, Hanworth, TW13 5EG",49.26740343,49
,Heston library,53,,TW5 0LW,"New Heston Road, Heston, TW5 0LW",70.57222653,71
,Hounslow library,57.5,,TW3 3EB,"First Floor, Hounslow House, 7 Bath Road, Hounslow, TW3 3EB",76.56420803,77
,Isleworth library,42.5,,TW7 7EU,"Isleworth Leisure Centre & Library, Twickenham Road, Isleworth, TW7 7EU",56.59093637,57
,Osterley library,37,,TW7 4NB,"11 St Mary's Crescent, Isleworth, TW7 4NB",49.26740343,49
