Ward,Name,opening_hour,Opening time,Post_code,Address,Capacity,Capacity_integer
,Kentish Town City Farm,56,,NW5 4BN,"1 Cressfield Close, NW5 4BN",74.56688086,75
,Kentish Town Community Centre,15,,NW5 2SP ,"17 Busby Place, NW5 2SP ",19.97327166,20
,King's Cross Brunswick Neighbourhood Association (KCBNA) - Chadswell Healthy Living Centre,2,,WC1H 8JF,"Chadswell Healthy Living Centre, Harrison Street, WC1H 8JF",2.663102888,3
,King's Cross Brunswick Neighbourhood Association (KCBNA) - The Marchmont Centre,42,,WC1N 1AB,"62 Marchmont Street, WC1N 1AB",55.92516065,56
,Lauderdale House,8,,N6 5HG,"Waterlow Park, N6 5HG",10.65241155,11
,London Irish Centre,40,,NW1 9XB,"50-52 Camden Square, NW1 9XB",53.26205776,53
,N1C Centre - Somali Youth Development Resource Centre,34,,N1C 4BQ,"Plimsoll building, N1C 4BQ",45.27274909,45
,Netherwood Youth and Family Hub,16,,NW6 2QU ,"5 Netherwood Street, NW6 2QU ",21.3048231,21
,Old Diorama Arts Centre,69,,NW1 3FE,"201 Drummond Street, NW1 3FE",91.87704963,92
,Primrose Hill Community Centre,4,,NW1 8TN,"29 Hopkinson's Place, NW1 8TN",5.326205776,5
,Queens Crescent Community Association,40,,NW5 4QE,"45 Ashdown Crescent, NW5 4QE",53.26205776,53
,Sidings Community Centre,6,,NW6 2BA,"16 Brassey Road, NW6 2BA",7.989308664,8
,Somers Town Community Association,40,,NW1 1DF,"2 Ossulston Street, NW1 1DF",53.26205776,53
,Somers Town Youth Centre,9,,NW1 1RX ,"134 Chalton Street, NW1 1RX ",11.983963,12
,St George the Martyr Church,12,,WC1N 3AH,"44 Queen Square, WC1N 3AH",15.97861733,16
,St Pancras Community Association,8,,NW1 OLB,"67 Plender Street, NW1 OLB",10.65241155,11
,South Hampstead and Kilburn Partnership (SHAK) - The ARC Youth Club,24,,NW8 0SW ,"Alexandra Resource Centre, Opposite 109 Rowley Way, NW8 0SW",31.95723465,32
,South Hampstead and Kilburn Partnership (SHAK) - Shell Centre 1,24,,NW8 0HS,"Shell 1 - Linnell House, Boundary Road, NW8 0HS",31.95723465,32
,South Hampstead and Kilburn Partnership (SHAK) - Shell Centre 2,24,,NW8 0HU,"Shell 2 - Fielding House, Boundary Road, NW8 0HU",31.95723465,32
,The Francis Crick Institute,28,,NW1 1AT,"1 Midland Road, NW1 1AT",37.28344043,37
,The O2 Centre,2,,NW3 6LU,"The Venue Hall (located on level 2), 255 Finchley Road, NW3 6LU",2.663102888,3
,The Pirate Castle,32.5,,NW1 7EA,"Gilbey's Wharf, Oval Road, NW1 7EA",43.27542193,43
,Third Age Project ,30,,NW1 3RH,"Cumberland Market, Regent's Park, NW1 3RH",39.94654332,40
City of London,Barbican Library,50.5,,EC2Y 8DS,"Barbican Library, Barbican Centre London, England, EC2Y 8DS, United Kingdom",67.24334792,67
,Shoe Lane Library,41,,EC4A 3JR,1 Hill House Little New Street,54.5936092,55
,Artizan Street Library,49,,E1 7AF,"1 Artizan St, London",65.24602075,65
Croydon,Ashburton Hall & Park - Cafe,4,"Tuesday and Thursday 12noon to 2pm, The cafe will be closed from 19 December to 2 January 2023",SE25 4SP,"Woodside Baptise Church, Spring Lane, London, SE25 4SP.",5.326205776,5
,Ashburton Library,32,"Monday, Tuesday and Thursday 10am to 6pm, Saturday 9am to 5pm",CR9 7AL,"Shirley Road, London, CR9 7AL.",42.60964621,43
,Bradmore Green Library,16,Tuesday and Friday 10am to 6pm,CR5 1PE,"Bradmore Way, Coulsdon, CR5 1PE.",21.3048231,21
,Broad Green Library,16,Monday and Thursday 10am to 6pm,CR0 3HH,"Canterbury Road, London, CR0 3HH.",21.3048231,21
,Central Library,40,"Monday, Tuesday, Wednesday, Friday 10am to 6pm",CR9 1ET,"Katharine Street, London, CR9 1ET.",53.26205776,53
,"Coffee, Craft & Chatter at All Saints Church, Kenley",2,Wednesday 10am to 12 noon,CR8 5DW,"Church Road, London, CR8 5DW.",2.663102888,3
,Coulsdon Library,24,"Monday and Thursday 10am to 6pm, Saturday 9am to 5pm",CR5 2NH,"Brighton Road, Coulsdon, CR5 2NH.",31.95723465,32
,Emmanuel Community Centre,8,Friday 8.45am to 5pm,CR2 7AQ,"Rockhampton Road, London, CR2 7AQ.",10.65241155,11
,His Grace Evangelical Outreach Church,5,"Tuesday 12 noon to 2pm, Thursday 3pm to 6pm",CR7 8JF,"His Grace Evangelical Outreach, 80-82 Beaulah Road, Croydon, CR7 8JF.",6.65775722,7
,Matthews Yard,16,,CR0 1UF,"North End 166, London, CR0 1UF.",21.3048231,21
,MHA Communities South London,2,,CR0 2RF,"West Croydon Methodist Church, London Road, Croydon, CR0 2RF.",2.663102888,3
,MHA The Wilderness,3,,CR9 5AL,"Shirley Church Road, London, CR9 5AL.",3.994654332,4
,New Addington Baptist Church,7,,CR0 0EE,"New Addington Baptist Church, Arnhem Drive, Croydon, CR0 0EE.",9.320860108,9
,New Addington Library,24,,CR0 0JD,"Central Parade, New Addington, CR0 0JD.",31.95723465,32
,Norbury Library,24,,SW16 4UW,"Beatrice Avenue, London, SW16 4UW.",31.95723465,32
,Oasis Academy Shirley Park,12,,CR9 7AL,"Shirley Road, Croydon, CR9 7AL.",15.97861733,16
,Old Coulsdon Congregational Church,8,,CR5 2LG,"Coulsdon Road 1, London, CR5 2LG.",10.65241155,11
