Ward,Name,opening_hour,Opening time,Post_code,Address,latitude,longitude
,Mottingham Library,39.5,,SE9 4QZ,31 Mottingham Road,51.4369794,0.0443695
,Oak Community Church,8,,BR5 2LJ,345 Chipperfield Road,51.3956719,0.1074898
,"Orpington Baptist Church and ""The Lounge """,12,,BR6 0RZ,"Station Road,",51.3725391,0.0946166
,Orpington Library,51,,BR6 0TW,The Walnuts,51.3769721,0.1016733
,"Parish Church of St Mary, Shortlands",2,,BR2 0HG,"Church House, 39 Kingswood Road",51.4019677,0.0018036
,Penge East Community Centre,24,,SE20 7BE,"Penge East Railway Station Carpark, Station Road",51.4194939,-0.0558388
,Penge Library,49,,SE20 7JX,46 Green Lane,51.414454,-0.0501852
,Petts Wood Library,39.5,,BR5 1BP,Frankswood Avenue,51.3894743,0.0692302
,Queen Adelaide Community Centre,84,,SE20 7EA,"Queen Adelaide Court, Queen Adelaide Road,",51.4176622,-0.053299
,Shortlands Library,39.5,,BR2 0JP,110 Shortlands Road,51.4003175,-0.0058449
,Southborough Library,36,,BR2 8AP,"Southborough Lane, Bromley",51.3902566,0.0451608
,"St Augustine's Church, BR2",1.5,,BR2 8AT,Southborough Lane,51.3902757,0.0512704
,St Edwards Mottingham,61,,SE9 4AQ,St Keverne Road,51.4264276,0.0481564
,St Francis of Assisi Church,15.5,,BR4 0PW,Ravenswood Avenue,51.3781004,-0.016151
,St Hugh's Community Centre,81,,SE20 8PL,"42 Castledine Road,",51.4144686,-0.0657161
,St Johns Church Penge Lunchtime Club,2.5,,SE20 7EQ,2 St Johns Road,51.416919,-0.0551139
,"St Nicholas Church, Orpington",1,,BR6 9QB,"Leamington Avenue,",51.3652328,0.0847585
,St Paul's Cray Library,39.5,,BR5 2RW,"Mickleham Road, St Paul's Cray",51.4050481,0.0996677
,"St Paul's Crofton, Elderberry Café",2.5,,BR6 8JE,"Parish Church of St Paul's, Crofton Road,",51.3729111,0.0681096
,"St. George's Church, Beckenham",25.5,,BR3 1HX,"High Street,",51.4091501,-0.0320051
,Turpington Lane Community Centre,4,,BR2 8JX,"Turpington Lane,",51.3859523,0.0423962
,"Unity Church, Orpington",7,,BR5 4NH,"Rye Crescent,",51.3755056,0.120674
,"Well Community Cafe, Living Well, Holy Trinity Church",9,,SE20 7LX,66 Lennard Road,51.4188897,-0.0497807
,West Wickham & Shirley Baptist Church,21,,CR0 8EH,Wickham Road,51.3776639,-0.0270476
,West Wickham Library,23.5,,BR4 0SH,"Glebe Way, West Wickham",51.3750907,-0.0099315
,West Wickham Methodist Church,3.5,,BR4 9AA,Hawes Lane (corner of Linden Leas),51.376082,-0.0069127
Camden,Belsize Community Library,24,,NW3 4XN,"Belsize Community Library, Antrim Road, London",51.5477316,-0.1619965
,Camden Town library,44,,NW1 1BD,"Camden Town Library, 218 Eversholt Street",51.5342475,-0.1377685
,Highgate library,29,,N19 5DH,"Highgate Library, Chester Road",51.5633907,-0.1450616
,Holborn library,49,,WC1X 8PA,"Holborn Library, 32-38 Theobalds Road",51.5211802,-0.1157284
,Kentish Town Library,49,,NW5 2AA,"Kentish Town Library, 262- 266 Kentish Town Road",51.5501009,-0.1405828
,Kilburn library,49,,NW6 5UH,"Kilburn Library,12-22 Kilburn High Road",51.5363867,-0.1911457
,Pancras Square library,78,,N1C 4AG,"Pancras Square Library, 5 Pancras Square",51.5329213,-0.1250768
,Queens Crescent library,41,,NW5 4HH,"Queens Crescent Library, 165 Queen's Crescent",51.5504845,-0.1511975
,Swiss Cottage library,54,,NW3 3HA,"Swiss Cottage Library, 88 Avenue Road",51.5424072,-0.1733032
,The British Library,61,,NW1 2DB,"The British Library, 96 Euston Road, London",51.5299847,-0.1270141
,West Hampstead library,41,,NW6 1AU,"West Hampstead Library, Dennington Park Road",51.5503144,-0.191634
,Agar Childrens Centre,50,,NW1 9SU,"Lulworth, Wrotham Road, London",51.541891,-0.1332311
,Harmood Childrens Centre,50,,NW1 8DQ,"1, Forge Place, London",51.5453436,-0.1485215
,Kilburn Grange Childrens Centre,50,,NW6 2JL,"1, Palmerston Road, London",51.5447565,-0.198027
,Regent's Park Children's Centre,50,,NW1 3TJ,"Augustus Street, London",51.5307547,-0.141501
,Kentish Town Sports Centre,94,,NW5 3DU,"Grafton Rd, London",51.5474592,-0.1446857
,Oasis Sports Centre,94.5,,WC2H 9AG,"32 Endell St, London",51.5149629,-0.1250505
,Pancras Square Leisure,97.5,,N1C 4AG,"5 Pancras Sq, London",51.5329213,-0.1250768
,Swiss Cottage Leisure Centre,97.5,,NW3 3NF,"4a Adelaide Rd, London",51.5424939,-0.1725188
,Talacre Community Sports Centre,85,,NW5 3LN,"Dalby St, London",51.5469131,-0.1471165
,Bengali Workers Association,37.5,,NW1 3JU ,"The Surma Community Centre, 1 Robert Street, NW1 3JU",51.5283116,-0.1388468
,Bourne Estate Tenant Residents Association,22.5,,EC1N 7AA,"Allen Hall, Unit 1 Dobson Court, Bourne Estate, EC1N 7AA",51.5206881,-0.1114099
,British Somali Community Centre,5.5,,NW1 1TU,"7-9 Crowndale Road, NW1 1TU",51.5350685,-0.1339716
,Castlehaven Community Association,40,,NW1 8RU,"23 Castlehaven Road, NW1 8RU",51.5427734,-0.1452079
,Community Association for West Hampstead,8,,NW6 1QN,"17 Dornfell Street, NW6 1QN",51.5510074,-0.199857
,Fitzrovia Community Centre,2,,W1W 6DL,2 Foley Street W1W 6DL,51.5202603,-0.1386562
,Holborn Community Association - Holborn House Community Centre,81,,WC1N 3QW,"35 Emerald Street, WC1N 3QW",51.5215397,-0.118092
,Holborn Community Association - Millman Street Community Centre,35,,WC1N 3EW,"50 Millman Street, WC1N 3EW",51.5230794,-0.1175239
,JW3,33,,NW3 6ET,"341-351 Finchley Road, NW3 6ET",51.5511981,-0.1848053
,Kentish Town City Farm,56,,NW5 4BN,"1 Cressfield Close, NW5 4BN",51.5521967,-0.148575
,Kentish Town Community Centre,15,,NW5 2SP ,"17 Busby Place, NW5 2SP ",51.5482906,-0.1324787
,King's Cross Brunswick Neighbourhood Association (KCBNA) - Chadswell Healthy Living Centre,2,,WC1H 8JF,"Chadswell Healthy Living Centre, Harrison Street, WC1H 8JF",51.5275618,-0.1205828
,King's Cross Brunswick Neighbourhood Association (KCBNA) - The Marchmont Centre,42,,WC1N 1AB,"62 Marchmont Street, WC1N 1AB",51.5253871,-0.1251701
,Lauderdale House,8,,N6 5HG,"Waterlow Park, N6 5HG",51.5692991,-0.1433782
,London Irish Centre,40,,NW1 9XB,"50-52 Camden Square, NW1 9XB",51.5437547,-0.1322462
,N1C Centre - Somali Youth Development Resource Centre,34,,N1C 4BQ,"Plimsoll building, N1C 4BQ",51.5376609,-0.1273623
,Netherwood Youth and Family Hub,16,,NW6 2QU ,"5 Netherwood Street, NW6 2QU ",51.5452144,-0.2009077
,Old Diorama Arts Centre,69,,NW1 3FE,"201 Drummond Street, NW1 3FE",51.5260588,-0.1392536
,Primrose Hill Community Centre,4,,NW1 8TN,"29 Hopkinson's Place, NW1 8TN",51.5397832,-0.1551787
,Queens Crescent Community Association,40,,NW5 4QE,"45 Ashdown Crescent, NW5 4QE",51.5502399,-0.1516546
,Sidings Community Centre,6,,NW6 2BA,"16 Brassey Road, NW6 2BA",51.5493562,-0.2000809
,Somers Town Community Association,40,,NW1 1DF,"2 Ossulston Street, NW1 1DF",51.5314142,-0.1296682
,Somers Town Youth Centre,9,,NW1 1RX ,"134 Chalton Street, NW1 1RX ",51.5327774,-0.1329695
,St George the Martyr Church,12,,WC1N 3AH,"44 Queen Square, WC1N 3AH",51.5209456,-0.122412
,St Pancras Community Association,8,,NW1 OLB,"67 Plender Street, NW1 OLB",51.5306872,-0.146932
,South Hampstead and Kilburn Partnership (SHAK) - The ARC Youth Club,24,,NW8 0SW ,"Alexandra Resource Centre, Opposite 109 Rowley Way, NW8 0SW",51.5404978,-0.1819432
,South Hampstead and Kilburn Partnership (SHAK) - Shell Centre 1,24,,NW8 0HS,"Shell 1 - Linnell House, Boundary Road, NW8 0HS",51.539149,-0.1825305
,South Hampstead and Kilburn Partnership (SHAK) - Shell Centre 2,24,,NW8 0HU,"Shell 2 - Fielding House, Boundary Road, NW8 0HU",51.5388124,-0.183438
,The Francis Crick Institute,28,,NW1 1AT,"1 Midland Road, NW1 1AT",51.5318535,-0.1280331
,The O2 Centre,2,,NW3 6LU,"The Venue Hall (located on level 2), 255 Finchley Road, NW3 6LU",51.5479446,-0.18143
,The Pirate Castle,32.5,,NW1 7EA,"Gilbey's Wharf, Oval Road, NW1 7EA",51.5388269,-0.1475603
,Third Age Project ,30,,NW1 3RH,"Cumberland Market, Regent's Park, NW1 3RH",51.5293299,-0.1418185
